stop_I,lat,lon,name,city_center
1,54.552832,-6.045183,Mount Eagles,0
2,54.600955,-5.92366,Queens Square,1
3,54.555152,-6.042798,Lagmore Reservoir,0
4,54.600624,-5.918624,Station Street,1
5,54.554886,-6.041874,Lagmore Avenue (Teeling Avenue),0
6,54.600146,-5.908106,Short Strand (Newtownards Road),1
7,54.553893,-6.039826,Lagmore Avenue (Glendowan Park),0
8,54.599795,-5.905037,Tower Street,1
9,54.554147,-6.032764,Lagmore Avenue (Glenferna),0
10,54.599367,-5.901588,Templemore Avenue,1
11,54.551385,-6.031718,Lagmore Meadows,0
12,54.598898,-5.897996,Dee Street,1
13,54.54965,-6.031949,Lagmore Drive,0
14,54.59833,-5.893589,Ribble Street,0
15,54.548405,-6.029103,Lagmore Dale,0
16,54.598146,-5.892038,Connswater,0
17,54.548348,-6.029468,Lagmore Dale,0
18,54.597874,-5.889874,Connswater,0
19,54.548739,-6.031766,Lagmore Drive,0
20,54.598112,-5.887511,Holywood Arches,0
21,54.550946,-6.032216,Lagmore Meadows,0
22,54.600047,-5.88466,Dundela Park,0
23,54.553815,-6.032205,Lagmore Avenue (Glenferna),0
24,54.601894,-5.882884,Parkgate Avenue,0
25,54.553808,-6.039694,Lagmore Avenue (Glendowan Park),0
26,54.554533,-6.041685,Lagmore Avenue (Teeling Avenue),0
27,54.604841,-5.88016,Connsbrook Avenue (Larkfield),0
28,54.605702,-5.876028,Palmerston Road,0
29,54.547009,-6.023504,Summerhill Estate,0
30,54.607115,-5.874597,Palmerston Road (Station Road),0
31,54.54981,-6.023393,Summerhill Drive (St.Marks),0
32,54.608086,-5.875449,Station Road,0
33,54.552587,-6.021841,Brook Activity Centre,0
34,54.609335,-5.876885,Sydenham Halt,0
35,54.554501,-6.0235,Twinbrook Road,0
36,54.610387,-5.874645,Inverary Drive,0
37,54.554757,-6.026078,Twinbrook Road,0
38,54.609727,-5.872522,Inverary Playing Fields,0
39,54.608824,-5.870391,Inverleath Drive,0
40,54.608366,-5.868689,Carolhill,0
41,54.610003,-5.866707,Ashfield Boys,0
42,54.611015,-5.865439,Ashfield Girls,0
43,54.560429,-5.998549,Black's Road (Balmoral Hotel),0
44,54.612944,-5.86305,Blanchflower Park,0
45,54.56283,-6.001276,Black's Road (Garnock Hill),0
46,54.614666,-5.861803,Tillysburn,0
47,54.564081,-6.003983,Black's Road (Brooke Drive),0
48,54.618916,-5.857976,Knocknagoney Road,0
49,54.564347,-6.005727,Black's Road (Black's Court),0
50,54.618511,-5.854869,Knocknagoney Primary,0
51,54.56575,-6.009781,Black's Road (Erris Grove),0
52,54.618219,-5.853044,Knocknagoney Avenue,0
53,54.566112,-6.01025,Black's Road (Ringford Park),0
54,54.565106,-6.008309,Black's Road (Trenchard),0
55,54.618729,-5.857059,Knocknagoney Primary,0
56,54.562934,-6.001116,Black's Road (Brooke Drive),0
57,54.619011,-5.859503,Knocknagoney Dale,0
58,54.560819,-5.998711,Black's Road (Balmoral Hotel),0
59,54.618537,-5.860249,Tillysburn,0
60,54.559348,-5.997236,Black's Road (M1 Onslip),0
61,54.613848,-5.861772,Tillysburn Park,0
62,54.612936,-5.862724,Templeton House,0
63,54.61084,-5.865283,Ashfield Girls,0
64,54.562518,-6.017465,Upper Dunmurry Lane (Glengoland),0
65,54.609445,-5.866995,Ashfield Boys,0
