stop_I,lat,lon,name,city_center
1,44.769703,-0.641292,Granet,0
2,44.775474,-0.575073,Brignon,0
3,44.834906,-0.512627,Verts Coteaux,0
4,44.815884,-0.565617,Bertin,1
5,44.829073,-0.663634,Chemin Long,0
6,44.815337,-0.691634,Clos des Bruyères,0
7,44.904876,-0.668992,Mairie du Taillan Médoc,0
8,44.900524,-0.732244,Chateaubriand,0
9,44.88028,-0.685284,Ste Christine,0
10,44.858065,-0.678173,La Morandière (av de Magudas),0
11,44.841092,-0.580139,Gambetta,1
12,44.79899,-0.587253,Franklin,0
13,44.833764,-0.627587,Churchill,0
14,44.796945,-0.579984,Pacaris,0
15,44.803493,-0.666675,Monbalon 2,0
16,44.783007,-0.593231,Bobet,0
17,44.896636,-0.721865,Gare Routière (av du Gal de Gaulle),0
18,44.828015,-0.669745,Château Rouquey,0
19,44.864356,-0.519502,Place des 2 Villes (vers Buttinière),0
20,44.828613,-0.518389,Russel,0
21,44.853854,-0.5538,Grands Moulins,1
22,44.818485,-0.615255,Fraternité,0
23,44.888348,-0.660748,Les Cares,0
24,44.766464,-0.595324,Les Airelles,0
25,45.025068,-0.566758,Mirambeau,0
26,44.811334,-0.582344,Chemin de Suzon,0
27,44.79087,-0.656447,Clavé,0
28,44.836653,-0.511508,Martouret,0
29,44.874558,-0.697723,Roux,0
30,44.880008,-0.647957,Breteil,0
31,44.769895,-0.641204,Granet,0
32,44.878253,-0.677925,Bernède,0
33,44.79943,-0.544168,Durcy,0
34,44.780201,-0.651198,Perrin,0
35,44.846575,-0.54214,Piscine Galin,1
36,44.855053,-0.530068,Nouaux,0
37,44.861858,-0.592945,Poincaré,1
38,44.863067,-0.484117,Verdot,0
39,44.860702,-0.637832,Violettes,0
40,44.757632,-0.582527,Rigaillou,0
41,44.912278,-0.517969,Square Prévert,0
42,44.820839,-0.531856,La Jacquotte,0
43,44.845265,-0.585447,Turenne,1
44,44.874125,-0.692574,Orion,0
45,44.872779,-0.687808,Capella,0
46,44.761636,-0.570449,Pierre Curie,0
47,44.757345,-0.736578,Lou Licot,0
48,44.844285,-0.586753,Capdeville,1
