stop_I,lat,lon,name,city_center
1,-35.28751,149.068329,Arboretum Car Park,0
2,-35.291889,149.063995,Arboretum Stop 3,0
4,-35.347042,149.047943,Fremantle Dr after McKail Cr,0
5,-35.273621,149.140823,Donaldson St after Ainslie Primary School,1
6,-35.216084,149.002975,MacFarlane Burnet Av after DeGruchy Pl,0
7,-35.212837,149.004196,MacFarlane Burnet Av after Eccles Cct,0
8,-35.212666,149.004013,MacFarlane Burnet Av before Eccles Cct,0
9,-35.216072,149.003357,MacFarlane Burnet Av after Hallows Cct,0
10,-35.209343,149.00322,MacFarlane Burnet Av after Constance Stone St,0
11,-35.209293,149.002975,MacFarlane Burnet Av before Constance Stone St,0
12,-35.192123,149.085968,O'Hanlon Pl after Gold Creek Rd,0
13,-35.192142,149.086075,O'Hanlon Pl before Gold Creek Rd,0
15,-35.426113,149.091614,Drumston St opp MacKillop College,0
16,-35.425972,149.091705,Drumston St MacKillop after Isabella Dr,0
17,-35.418968,149.120026,Hambidge Cr after Truganini Pl,0
18,-35.42786,149.091034,Ellerston Av opp Isabella Plains Shops,0
19,-35.427479,149.091415,Ellerston Av Isabella Plains Shops,0
20,-35.425655,149.09549,Ellerston Av after Drumston St,0
21,-35.425766,149.095459,Ellerston Av 2nd after Collyburl Cr,0
22,-35.426369,149.098007,Ellerston Av 2nd after Drumston St,0
23,-35.426601,149.098114,Ellerston Av after Collyburl Cr,0
24,-35.428486,149.100616,Ellerston Av after Abercorn Cr,0
25,-35.428391,149.100357,Ellerston Av after Groveland Cr,0
26,-35.428791,149.10289,Ellerston Av after 2nd Abercorn Cr,0
27,-35.428921,149.102844,Ellerston Av after Ashley Dr,0
28,-35.435093,149.113739,Webber Cr Calwell Shops,0
29,-35.436661,149.111282,Casey Cr after Roope Cl,0
30,-35.436859,149.11084,Casey Cr after Downard St,0
31,-35.439865,149.098618,Duggan St after Downard St,0
32,-35.439835,149.09848,Duggan St after Beckett St,0
33,-35.441601,149.100906,Duggan St after Tharwa Dr,0
34,-35.441601,149.10112,Duggan St after Andrew Cr,0
