stop_I,lat,lon,name,city_center
1,42.327192,-83.156513,Wyoming & Michigan,0
2,42.347309,-83.057625,Mack & Woodward,1
3,42.357982,-83.030357,MACK & MITCHELL,1
4,42.358312,-83.029953,MACK & MC DOUGALL,1
5,42.339119,-83.022671,Larned & Chene,1
6,42.355455,-83.007627,Kercheval & East Grand Blvd.,0
7,42.363555,-82.987761,McClellan & Kercheval,0
8,42.38261,-82.996821,Cadillac & Warren,0
9,42.392871,-83.00398,Cadillac & Harper,0
10,42.397088,-82.989249,Harper & Conner,0
11,42.404568,-82.96464,Harper & Chalmers,0
12,42.416759,-82.910832,Moross & Mack,0
13,42.417467,-82.911599,Moross & Mack,0
14,42.418675,-82.932847,Harper & Morang,0
15,42.426427,-82.959271,Kelly & Seymour,0
16,42.404649,-82.96497,Harper & Chalmers,0
17,42.397106,-82.989298,Harper & Conner,0
18,42.392925,-83.004297,Cadillac & Harper,0
19,42.382503,-82.996944,Cadillac & Warren,0
20,42.387241,-82.984035,Warren & St. Jean,0
21,42.363349,-82.988116,Kercheval & McClellan,0
22,42.355581,-83.007626,Kercheval & East Grand Blvd.,0
23,42.339048,-83.02333,Larned & Chene,1
24,42.384445,-83.111048,LaSalle - Webb,0
25,42.389345,-83.085923,Trowbridge & Woodward,0
26,42.402585,-83.052379,Caniff & Conant,0
27,42.3905,-83.022664,VAN DYKE & MILLER,0
28,42.400182,-83.000793,French Road & Gratiot,0
29,42.406105,-82.995714,East Outer Drive & Gratiot,0
30,42.414623,-82.970855,East Outer Drive & Chalmers,0
31,42.449635,-82.967572,Eight Mile & Gratiot,0
32,42.449798,-82.96822,Eight Mile & Gratiot,0
33,42.414686,-82.97116,East Outer Drive & Chalmers,0
34,42.406249,-82.996594,East Outer Drive & Gratiot,0
35,42.400397,-83.000707,French Road & Gratiot,0
36,42.390572,-83.023006,Miller & Van Dyke,0
37,42.404589,-83.037593,Mt. Elliott & Lynch,0
38,42.402612,-83.052819,Caniff & Conant,0
39,42.384606,-83.110974,LaSalle & Webb,0
40,42.39564,-82.958998,Chalmers & Warren,0
