stop_I,lat,lon,name,city_center
1,45.0569,5.68184,"VIF, Z.A. DES SPEYRES",0
2,45.20065,5.75103,"LA TRONCHE, VERCORS",0
3,45.18245,5.72217,"GRENOBLE, MARCEAU - JARDIN DES VALLONS",1
4,45.18263,5.72195,"GRENOBLE, MARCEAU - JARDIN DES VALLONS",1
5,45.05486,5.67766,"VIF, RUE DE L'ESPERE",0
6,45.05481,5.67762,"VIF, RUE DE L'ESPERE",0
7,45.0543,5.6752,"VIF, RUE DU NORD",0
8,45.05433,5.67537,"VIF, RUE DU NORD",0
9,45.19479,5.72481,"GRENOBLE, VEYRET",1
10,45.17052,5.68071,"SEYSSINET-PARISET, CENTRE-VILLAGE",0
11,45.18593,5.71744,"GRENOBLE, CHORIER - CONDORCET",1
12,45.18588,5.71725,"GRENOBLE, CHORIER - CONDORCET",1
13,45.20714,5.83398,"DOMENE, LES VERNES",0
14,45.14133,5.72057,"ECHIROLLES, LE VILLAGE",0
15,45.21186,5.75637,"CORENC, MONTFLEURY",0
18,45.20879,5.74934,"CORENC, CROIX DE MONTFLEURY",0
19,45.23012,5.68332,"SAINT-EGREVE, PONT DE VENCE",0
20,45.19195,5.77474,"GIERES, UNIVERSITES - BIOLOGIE",0
21,45.19017,5.76921,"SAINT-MARTIN-D'HERES, SCIENCES SOCIALES",0
22,45.13887,5.71323,"ECHIROLLES, DENIS PAPIN",0
23,45.13825,5.71271,"ECHIROLLES, DENIS PAPIN",0
24,45.14483,5.70962,"ECHIROLLES, AUGUSTE FERRIER",0
25,45.15905,5.74559,"EYBENS, VAL D'EYBENS",0
26,45.13645,5.71214,"ECHIROLLES, GAY LUSSAC",0
27,45.1956,5.73009,"GRENOBLE, XAVIER JOUVIN",1
28,45.16358,5.75128,"SAINT-MARTIN-D'HERES, LE MARAIS",0
29,45.13791,5.70227,"LE PONT-DE-CLAIX, FLOTTIBULLE",0
30,45.13786,5.70205,"LE PONT-DE-CLAIX, FLOTTIBULLE",0
31,45.13547,5.70127,"LE PONT-DE-CLAIX, CLOS DOMINIQUE",0
32,45.12614,5.69829,"LE PONT-DE-CLAIX, MARCELLINE",0
33,45.12553,5.69795,"LE PONT-DE-CLAIX, MARCELLINE",0
34,45.14565,5.70465,"ECHIROLLES, BAYARD",0
35,45.15166,5.70689,"ECHIROLLES, QUINZAINE",0
36,45.15149,5.70664,"ECHIROLLES, QUINZAINE",0
37,45.11993,5.69255,"CLAIX, POMPIDOU",0
38,45.14603,5.70431,"ECHIROLLES, BAYARD",0
39,45.13581,5.70155,"LE PONT-DE-CLAIX, CLOS DOMINIQUE",0
40,45.14647,5.70177,"ECHIROLLES, COLONEL MANHES",0
41,45.17901,5.78101,"GIERES, ROSERAIE",0
42,45.1529,5.74903,"EYBENS, ODYSSEE",0
43,45.14346,5.72313,"ECHIROLLES, PAUL LANGEVIN",0
44,45.14327,5.72275,"ECHIROLLES, PAUL LANGEVIN",0
45,45.20726,5.75533,"CORENC, LE CEDRE",0
46,45.20444,5.7376,"LA TRONCHE, BASTILLE",1
47,45.19832,5.68145,"FONTAINE, RUE DES ALPES",0
48,45.1598,5.75735,"POISAT, ROBESPIERRE",0
49,45.16051,5.68996,"SEYSSINS, LA BAUME",0
50,45.17592,5.69696,"SEYSSINET-PARISET, BEAU SITE",0
51,45.2078,5.75673,"MEYLAN, LE CEDRE",0
52,45.20829,5.7578,"CORENC, JULES FLANDRIN",0
53,45.14936,5.74115,"EYBENS, LES RUIRES-BOETIE",0
54,45.20997,5.76177,"CORENC, GRESIVAUDAN",0
55,45.17052,5.68077,"SEYSSINET-PARISET, CENTRE-VILLAGE",0
56,45.1478,5.71286,"ECHIROLLES, PAUL HEROULT",0
57,45.19169,5.77029,"SAINT-MARTIN-D'HERES, BIBLIOTHEQUES UNIVERSITAIRES",0
58,45.11986,5.69267,"CLAIX, POMPIDOU",0
59,45.13808,5.74566,"BRESSON, LES VIGNES",0
60,45.14491,5.70976,"ECHIROLLES, AUGUSTE FERRIER",0
61,45.17226,5.74478,"GRENOBLE, PAUL COCAT",0
62,45.23997,5.66654,"SAINT-EGREVE, CAP 38",0
63,45.23522,5.66953,"SAINT-EGREVE, LA BIOLLE - GARE",0
64,45.22268,5.684,"SAINT-EGREVE, BELLEDONNE",0
65,45.22272,5.68403,"SAINT-EGREVE, BELLEDONNE",0
66,45.21853,5.67991,"SAINT-EGREVE, LES GLAIRAUX",0
67,45.21946,5.67963,"SAINT-EGREVE, LES GLAIRAUX",0
68,45.14003,5.69852,"LE PONT-DE-CLAIX, LA LUIRE",0
69,45.16113,5.74449,"EYBENS, GENERAL DE GAULLE",0
70,45.1624,5.74402,"EYBENS, GENERAL DE GAULLE",0
71,45.14791,5.75117,"EYBENS, LE BOURG",0
72,45.14781,5.75116,"EYBENS, LE BOURG",0
73,45.19505,5.72342,"GRENOBLE, LE RABOT",1
74,45.14548,5.72585,"ECHIROLLES, GUY MOCQUET",0
75,45.14511,5.72519,"ECHIROLLES, GUY MOCQUET",0
76,45.20969,5.66443,"SASSENAGE, LE GUA",0
77,45.20967,5.66695,"SASSENAGE, L'OVALIE",0
78,45.20971,5.66437,"SASSENAGE, LE GUA",0
79,45.24726,5.62711,"NOYAREY, VILLAGE",0
80,45.23531,5.67151,"SAINT-EGREVE, SAINT EGREVE GARE",0
81,45.12742,5.69856,"LE PONT-DE-CLAIX, IRENE JOLIOT-CURIE",0
82,45.128,5.69892,"LE PONT-DE-CLAIX, IRENE JOLIOT-CURIE",0
83,45.21142,5.67272,"SASSENAGE, COMPLEXE SPORTIF",0
84,45.20966,5.677,"SASSENAGE, FRANCOIS BLUMET",0
85,45.20994,5.67673,"SASSENAGE, FRANCOIS BLUMET",0
86,45.21136,5.67252,"SASSENAGE, COMPLEXE SPORTIF",0
87,45.21784,5.69096,"SAINT-MARTIN-LE-VINOUX, COLLEGE CHARTREUSE",0
88,45.19751,5.75366,"LA TRONCHE, SABLONS",0
89,45.19678,5.75299,"LA TRONCHE, SABLONS",0
90,45.17245,5.70632,"GRENOBLE, DOCTEUR SCHWEITZER",0
91,45.17049,5.72791,"GRENOBLE, FLAUBERT - CLOS D'OR",1
92,45.17188,5.72396,"GRENOBLE, STALINGRAD-ALLIES",1
93,45.17354,5.71805,"GRENOBLE, MARCHE D'INTERET NATIONAL",1
