stop_I,lat,lon,name,city_center
1,60.17127,24.95657,Kirkkokatu,1
2,60.17258,24.956554,Vironkatu,1
3,60.17418,24.95688,Meritullinkatu,1
4,60.174297,24.956514,Meritullinkatu,1
5,60.17428,24.96071,Liisanpuistikko,1
6,60.17433,24.96023,Liisanpuistikko,1
7,60.17401,24.95236,Snellmaninkatu,1
8,60.17407,24.95208,Snellmaninkatu,1
9,60.17398,24.96117,Liisanpuistikko,1
10,60.17103,24.95895,Pohjoisranta,1
11,60.17397,24.9562,Liisankatu,1
12,60.17014,24.953501,Hallituskatu,1
13,60.17036,24.95353,Hallituskatu,1
14,60.17216,24.95335,Kansallisarkisto,1
15,60.17183,24.95326,Kansallisarkisto,1
16,60.16915,24.95611,Ritarihuone,1
17,60.16912,24.95556,Ritarihuone,1
20,60.16906,24.95146,Senaatintori,1
21,60.17207,24.94353,Rautatientori,1
22,60.17034,24.94382,Rautatientori,1
23,60.17502,24.95049,Kaisaniemenpuisto,1
24,60.17348,24.94914,Kaisaniemenpuisto,1
25,60.172057,24.946017,Rautatientori,1
26,60.17076,24.94268,Rautatientori,1
27,60.17072,24.94324,Rautatientori,1
28,60.17141,24.94266,Rautatientori,1
29,60.17108,24.94283,Rautatientori,1
30,60.17133,24.94277,Rautatientori,1
31,60.17095,24.94308,Rautatientori,1
32,60.17132,24.94302,Rautatientori,1
33,60.17085,24.94333,Rautatientori,1
34,60.17134,24.94329,Rautatientori,1
35,60.171203,24.93958,Elielinaukio,1
36,60.17165,24.93972,Elielinaukio,1
37,60.17182,24.93984,Elielinaukio,1
38,60.17195,24.93975,Elielinaukio,1
39,60.17179,24.93974,Elielinaukio,1
41,60.17186,24.93972,Elielinaukio,1
42,60.17022,24.93943,Kaivokatu,1
43,60.173545,24.94981,Kaisaniemenpuisto,1
44,60.170863,24.938568,Postitalo,1
45,60.17033,24.93807,Lasipalatsi,1
46,60.17113,24.9448,Rautatientori,1
47,60.17101,24.938253,Postitalo,1
48,60.170197,24.937442,Lasipalatsi,1
49,60.17098,24.9427,Rautatientori,1
50,60.17192,24.94376,Rautatientori,1
51,60.17165,24.94327,Rautatientori,1
52,60.17113,24.93974,Elielinaukio,1
53,60.172,24.93977,Elielinaukio,1
54,60.17205,24.93972,Elielinaukio,1
55,60.17211,24.93974,Elielinaukio,1
56,60.17218,24.9397,Elielinaukio,1
57,60.17035,24.94545,Mikonkatu,1
58,60.17021,24.94523,Mikonkatu,1
59,60.17023,24.93798,Lasipalatsi,1
60,60.17045,24.9377,Lasipalatsi,1
61,60.16874,24.94248,Ylioppilastalo,1
62,60.16886,24.94206,Ylioppilastalo,1
