stop_I,lat,lon,name,city_center
3,49.61793,5.99866,"Holzem, Mamerstrooss",0
4,49.701,6.01806,Bour,0
11,49.45069,6.02572,"Rumelange, A Wiendelen",0
19,49.62361,6.23457,"Neihaischen, Kiischtewee",0
21,49.6227,6.24282,"Neuhaeusgen, Iewescht Neihaischen",0
23,49.62269,6.23174,Ennescht Neihaischen,0
25,49.54877,6.27703,Gondelengermillen,0
29,49.5425,6.32479,"Erpeldange/Bous, Scheierbierg",0
30,49.60981,6.12055,"Belair, Wampach",1
31,49.61324,6.11597,"Luxembourg, Square New York",1
32,49.54602,6.32723,"Erpeldange/Bous, Kräizgaass",0
33,49.61585,6.10261,"Belair, Wandmillen",0
34,49.54675,6.32498,"Erpeldange/Bous, Rollengerstrooss",0
35,49.61166,6.10138,"Belair, Glaesener-Hartmann",0
36,49.616,5.99312,"Holzem, Festsall",0
37,49.61418,5.99016,"Holzem, Bréck",0
43,49.51448,5.90256,"Obercorn, Neiduerf",0
45,49.50315,5.92369,"Belval-Rédange, Gare",0
46,49.60444,6.11497,"Hollerich, Alphonse Munchen",1
47,49.59726,6.11776,"Hollerich, Assurances Sociales",1
48,49.59862,6.12626,"Hollerich, Fonderie",1
49,49.59514,6.12099,"Hollerich, Gare",1
50,49.60143,6.11997,"Hollerich, Heentze Park",1
53,49.77783,6.11689,Essen,0
54,49.60424,6.28079,"Lenningen, Hakenhaff",0
55,49.75331,6.13936,Bënzert,0
56,49.60034,6.36669,"Lenningen, Am Aker",0
57,49.51122,5.92992,"Belvaux, Gemeng",0
58,49.59921,6.1224,"Hollerich, Jean-Baptiste Merkels",1
59,49.50116,5.92077,"Belvaux, Grenz",0
60,49.5108,5.93432,"Belvaux, Henri Tudor",0
61,49.60341,6.11845,"Hollerich, Nancy",1
62,49.6,6.10721,"Hollerich, P+R Bouillon",0
63,49.50778,5.92313,"Belvaux, Batting",0
64,49.50135,5.93768,"Belvaux, Belval",0
66,49.50889,5.94334,"Belvaux, Brill",0
67,49.51443,5.92471,"Belvaux-Soleuvre, Gare",0
68,49.5989,6.11935,"Hollerich, Pierre & Paul",1
69,49.60227,6.11661,"Hollerich, Poincaré",1
71,49.6,6.11791,"Hollerich, Salzhaff",1
73,49.60032,6.11732,"Hollerich, Schluechthaus",1
76,49.59898,6.10479,"Hollerich, Garage AVL",0
78,49.59916,6.10544,"Hollerich, AVL Portal",0
81,49.60285,5.90972,"Fingig, Maerchen",0
82,49.60085,5.90088,"Fingig, Dillesbierg",0
83,49.59962,6.11207,"Hollerich, P+R Bouillon Ext.",1
84,49.51432,5.92124,"Belvaux, Uewerkuererstrooss",0
86,49.50478,5.92189,"Belvaux, Wenschel",0
87,49.57415,5.98536,"Bettange, Spillplaz",0
91,49.50758,5.92659,"Belvaux, Stadium",0
93,49.52992,6.11903,"Livange, Am Duerf",0
