stop_I,lat,lon,name,city_center
1,38.180865,13.32518833,CASTELFORTE - DE FONSECA,0
2,38.176255,13.32601833,CASTELFORTE - GIARDINO DELLA CONCORDIA,0
3,38.17624866,13.32607135,CASTELFORTE - GIARDINO DELLA CONCORDIA,0
4,38.18595986,13.32358494,CASTELFORTE - P.M. 64,0
5,38.17783833,13.32548833,CASTELFORTE - BELLINZONA,0
6,38.17786693,13.32553089,CASTELFORTE - BELLINZONA,0
7,38.195117865,13.31552658,CASTELFORTE - CHIRONE,0
8,38.18095789,13.32512721,CASTELFORTE - DE FONSECA,0
9,38.186135,13.32364833,CASTELFORTE - P.M. 64,0
10,38.17456833,13.32646167,CASTELFORTE - TRAPANI,0
11,38.08691333,13.35546167,REGIONE SICILIANA - DEL CIGNO,0
12,38.0906632,13.3354041,COSTA 1,0
13,38.098755256,13.319634176,CALATAFIMI - RISERVA REALE,0
14,38.09443512,13.30914299,CALATAFIMI - ROCCA,0
15,38.10706237,13.340054026,CALATAFIMI - RAGUSA MOLETI,1
16,38.1026327225,13.329151075,CALATAFIMI - REGIONE SICILIANA,0
17,38.1116369043,13.3515066671,CALATAFIMI - PORTA NUOVA,1
18,38.10663375,13.33912555,CALATAFIMI - RAGUSA MOLETI,1
19,38.107472228,13.341224064,CALATAFIMI - PINDEMONTE,1
20,38.107758052,13.341790414,CALATAFIMI - PINDEMONTE,1
21,38.1002683325,13.323411665,CALATAFIMI - PIETRATAGLIATA,0
22,38.100129536,13.322983936,CALATAFIMI - PIETRATAGLIATA,0
23,38.108194854,13.342962862,CALATAFIMI - CASERMA TUKORY,1
24,38.10849429,13.343584336,CALATAFIMI - CASERMA TUKORY,1
25,38.09933,13.320989002,CALATAFIMI - CHINNICI,0
26,38.1020230567,13.3277638033,CALATAFIMI - DE FILIPPO,0
27,38.1020877525,13.3277994525,CALATAFIMI - DE FILIPPO,0
28,38.10364278,13.3317511133,CALATAFIMI - DRAGO,0
29,38.110314598,13.348153976,CALATAFIMI - INDIPENDENZA,1
30,38.0994841675,13.321440415,CALATAFIMI - LENIN MANCUSO,0
31,38.1187652387,13.3690743475,VITTORIO EMANUELE - S. MARIA DELLA CATENA,1
32,38.075835,13.31023333,AQUINO - CARTIERA,0
33,38.07290759,13.29762653,AQUINO - FONDO PASQUALINO,0
34,38.1435666667,13.3319700033,AQUILEIA - DELLE ALPI,0
35,38.141521665,13.33346,AQUILEIA - LAZIO,0
36,38.19937,13.317335,APOLLO - AGLAIA,0
37,38.19810667,13.314575835,APOLLO - CATALANO,0
38,38.07461261,13.30829367,AQUINO - CALO',0
39,38.07588833,13.31022833,AQUINO - CARTIERA,0
40,38.14171222,13.333185,AQUILEIA - LAZIO,0
41,38.07466012,13.30828026,AQUINO - CALO',0
