stop_I,lat,lon,name,city_center
1,50.068435,14.507169,Skalka,0
2,50.073336,14.490091,Strašnická,1
3,50.07854,14.474891,Želivského,1
4,50.078288,14.461886,Flora,1
5,50.077642,14.45004,Jiřího z Poděbrad,1
6,50.075398,14.439078,Náměstí Míru,1
7,50.079847,14.430577,Muzeum - A,1
8,50.083943,14.424149,Můstek - A,1
9,50.088454,14.417066,Staroměstská,1
10,50.092176,14.409101,Malostranská,1
11,50.097671,14.402535,Hradčanská,1
12,50.100481,14.392462,Dejvická,1
13,50.098319,14.36212,Bořislavka,0
14,50.09551,14.348419,Nádraží Veleslavín,0
15,50.086608,14.345018,Petřiny,0
16,50.087075,14.344858,Petřiny,0
17,50.096355,14.350112,Nádraží Veleslavín,0
18,50.098363,14.363545,Bořislavka,0
19,50.100464,14.393888,Dejvická,1
20,50.097214,14.403785,Hradčanská,1
21,50.091274,14.409325,Malostranská,1
22,50.087953,14.418276,Staroměstská,1
23,50.083119,14.424965,Můstek - A,1
24,50.079082,14.432009,Muzeum - A,1
25,50.075225,14.440483,Náměstí Míru,1
26,50.077802,14.451461,Jiřího z Poděbrad,1
27,50.078266,14.463298,Flora,1
28,50.078027,14.476067,Želivského,1
29,50.072806,14.490938,Strašnická,1
30,50.068425,14.508556,Skalka,0
31,50.074985,14.340497,Nemocnice Motol,0
32,50.075351,14.341707,Nemocnice Motol,0
33,50.076191,14.514925,Depo Hostivař,0
34,50.076132,14.515078,Depo Hostivař,0
35,50.052798,14.291152,Zličín,0
36,50.046716,14.307241,Stodůlky,0
37,50.045365,14.321854,Luka,0
38,50.044515,14.331143,Lužiny,0
39,50.050026,14.343495,Hůrka,0
40,50.050856,14.35285,Nové Butovice,0
41,50.054316,14.370614,Jinonice,0
42,50.057942,14.388403,Radlická,1
43,50.061797,14.409112,Smíchovské nádraží,1
44,50.07049,14.404878,Anděl,1
45,50.074808,14.417579,Karlovo náměstí,1
46,50.080209,14.420439,Národní třída,1
47,50.083609,14.423983,Můstek - B,1
48,50.088974,14.43128,Náměstí Republiky,1
49,50.090437,14.438362,Florenc - B,1
50,50.092627,14.452043,Křižíkova,1
51,50.096976,14.463824,Invalidovna,1
52,50.10417,14.475436,Palmovka,1
53,50.106302,14.492291,Českomoravská,0
54,50.110167,14.501728,Vysočanská,0
55,50.110331,14.517115,Kolbenova,0
56,50.106531,14.537062,Hloubětín,0
57,50.106935,14.561205,Rajská zahrada,0
58,50.109058,14.577538,Černý Most,0
59,50.108877,14.576128,Černý Most,0
60,50.106761,14.559801,Rajská zahrada,0
61,50.106845,14.535719,Hloubětín,0
62,50.11046,14.515682,Kolbenova,0
63,50.109958,14.500434,Vysočanská,0
64,50.106026,14.491089,Českomoravská,0
65,50.103798,14.474155,Palmovka,1
66,50.096627,14.462479,Invalidovna,1
67,50.092466,14.450637,Křižíkova,1
68,50.090532,14.43693,Florenc - B,1
69,50.088677,14.429915,Náměstí Republiky,1
70,50.083215,14.422791,Můstek - B,1
71,50.079294,14.420148,Národní třída,1
72,50.074374,14.416377,Karlovo náměstí,1
73,50.069532,14.403572,Anděl,1
74,50.060814,14.409107,Smíchovské nádraží,1
75,50.058298,14.387114,Radlická,1
76,50.054098,14.369212,Jinonice,0
77,50.050831,14.351448,Nové Butovice,0
78,50.049992,14.342088,Hůrka,0
79,50.044479,14.329741,Lužiny,0
80,50.045979,14.320828,Luka,0
81,50.046687,14.305836,Stodůlky,0
82,50.053681,14.290809,Zličín,0
83,50.030756,14.526273,Háje,0
84,50.027862,14.508487,Opatov,0
85,50.031856,14.490329,Chodov,0
86,50.037914,14.476149,Roztyly,0
87,50.04198,14.458679,Kačerov,0
88,50.044769,14.44829,Budějovická,0
89,50.051454,14.439438,Pankrác,1
90,50.057205,14.432863,Pražského povstání,1
91,50.0636,14.430558,Vyšehrad,1
92,50.074794,14.430324,I. P. Pavlova,1
93,50.080567,14.431558,Muzeum - C,1
94,50.083895,14.434491,Hlavní nádraží,1
95,50.090447,14.43945,Florenc - C,1
96,50.100749,14.438559,Vltavská,1
97,50.109295,14.439774,Nádraží Holešovice,1
98,50.124235,14.454932,Kobylisy,0
99,50.126665,14.470059,Ládví,0
100,50.126655,14.468806,Ládví,0
101,50.124005,14.453577,Kobylisy,0
102,50.108534,14.440372,Nádraží Holešovice,1
103,50.099847,14.438426,Vltavská,1
104,50.089619,14.438892,Florenc - C,1
105,50.083115,14.433785,Hlavní nádraží,1
106,50.079861,14.431276,Muzeum - C,1
107,50.073871,14.430295,I. P. Pavlova,1
108,50.062681,14.430482,Vyšehrad,1
109,50.056508,14.433761,Pražského povstání,1
110,50.050601,14.439927,Pankrác,1
111,50.044052,14.449283,Budějovická,0
112,50.041696,14.459939,Kačerov,0
113,50.037425,14.477329,Roztyly,0
114,50.031392,14.491431,Chodov,0
115,50.027915,14.509895,Opatov,0
116,50.03081,14.527675,Háje,0
117,50.126531,14.488722,Střížkov,0
118,50.118655,14.499062,Prosek,0
119,50.126741,14.516033,Letňany,0
120,50.126314,14.515926,Letňany,0
121,50.119166,14.498572,Prosek,0
122,50.12713,14.488199,Střížkov,0
123,50.09219,14.481012,Strážní,1
124,50.09249,14.485837,Chmelnice,1
125,50.09215,14.492481,Kněžská luka,1
126,50.091506,14.499407,Spojovací,0
127,50.091841,14.498598,Spojovací,0
128,50.092185,14.492967,Kněžská luka,0
129,50.092555,14.48696,Chmelnice,1
130,50.092317,14.481535,Strážní,1
131,50.091683,14.475439,Vozovna Žižkov,1
132,50.090592,14.469092,Ohrada,1
133,50.095083,14.474851,Krejcárek,1
134,50.103535,14.471817,Palmovka,1
135,50.103452,14.464878,Libeňský most,1
136,50.103348,14.452656,Maniny,1
137,50.100778,14.450016,Tusarova,1
138,50.098339,14.444099,Pražská tržnice,1
139,50.099226,14.438121,Vltavská,1
140,50.098883,14.433691,Strossmayerovo náměstí,1
141,50.099709,14.428566,Kamenická,1
142,50.100001,14.423117,Letenské náměstí,1
143,50.099704,14.42058,Korunovační,1
144,50.09899,14.41613,Sparta,1
145,50.09721,14.403853,Hradčanská,1
146,50.09473,14.39387,Prašný most,1
147,50.09357,14.389065,Vozovna Střešovice,1
148,50.09287,14.383685,Sibeliova,1
149,50.092917,14.378877,Ořechovka,1
150,50.092398,14.369409,Baterie,1
151,50.091761,14.359789,Vojenská nemocnice,0
152,50.08977,14.350998,Větrník,0
153,50.088143,14.344634,Petřiny,0
154,50.086614,14.339737,Sídliště Petřiny,0
155,50.086974,14.339774,Sídliště Petřiny,0
156,50.0882,14.345178,Petřiny,0
157,50.089753,14.351194,Větrník,0
158,50.091738,14.3603,Vojenská nemocnice,0
159,50.092391,14.369828,Baterie,1
160,50.092837,14.379547,Ořechovka,1
161,50.092783,14.384203,Sibeliova,1
162,50.094184,14.390646,Vozovna Střešovice,1
163,50.094908,14.396276,Prašný most,1
164,50.097296,14.404872,Hradčanská,1
165,50.099607,14.420847,Sparta,1
166,50.099949,14.42409,Letenské náměstí,1
167,50.099479,14.429257,Kamenická,1
168,50.098895,14.432892,Strossmayerovo náměstí,1
169,50.098814,14.438765,Vltavská,1
170,50.098269,14.444278,Pražská tržnice,1
171,50.102633,14.450038,Dělnická,1
172,50.103245,14.453871,Maniny,1
173,50.103398,14.465742,Libeňský most,1
174,50.102475,14.473385,Palmovka,1
175,50.095008,14.474674,Krejcárek,1
176,50.090671,14.470091,Ohrada,1
177,50.091492,14.474534,Vozovna Žižkov,1
178,50.091337,14.475182,Vozovna Žižkov,1
179,50.093946,14.336718,Nad Džbánem,0
180,50.095977,14.348343,Nádraží Veleslavín,0
181,50.096839,14.352971,Červený Vrch,0
