stop_I,lat,lon,name,city_center
1,49.817611138,-97.1516838653,Northbound Pembina at University Crescent,0
2,49.912161878,-97.1440459642,Westbound Dufferin at Salter,0
3,49.8834301355,-97.2026556899,Eastbound Ness at St. James,0
4,49.8181478535,-97.151496587,Northbound University at Pembina,0
5,49.9316085667,-97.1831527698,Southbound Sheppard at Burrows,0
6,49.8781564125,-97.2934248824,Northbound Westwood at Amundsen,0
7,49.9091549965,-97.0723321833,Eastbound Munroe at Louelda,0
8,49.8184002294,-97.1515286762,Northbound University at Pembina South,0
9,49.821400646,-97.1495930075,Westbound Bishop Grandin at Pembina Crossing,0
10,49.8178028127,-97.1905608423,Westbound Scurfield at Dovercourt,0
11,49.8177537354,-97.1902985331,Eastbound Scurfield at Dovercourt,0
12,49.8235671212,-97.1483841374,Eastbound Plaza at Plaza South,0
13,49.8231667368,-97.1514721426,Eastbound Plaza at Pembina,0
14,49.8234550209,-97.1481242454,Northbound Plaza at Plaza East,0
15,49.8219713823,-97.1475969547,Northbound Plaza at Plaza Terminal,0
16,49.8232102415,-97.1519432107,Westbound Plaza at Pembina,0
17,49.8238410569,-97.1497640684,Westbound Plaza at Plaza West,0
18,49.7876115899,-97.1788624116,Eastbound John Angus at Gelley,0
19,49.9396558654,-97.2188497501,Eastbound Egesz at Haddon,0
20,49.870686355,-97.0931677825,Southbound Archibald at Elizabeth,0
21,49.7890393547,-97.157120484,Northbound Pembina at Killarney,0
22,49.8848851597,-97.12316602,Eastbound Dollard at Tache (St. Boniface Hospital),1
23,49.8849903442,-97.1202245023,Eastbound Dollard at Kenny,1
24,49.881979573,-97.0787464812,Westbound Marion at Turenne,0
25,49.8870807546,-97.1221063115,Eastbound Despins at Valade,1
26,49.8829455089,-97.1128562355,Southbound Enfield at Goulet,1
27,49.8833146538,-97.1172965714,Northbound Traverse at Thomas Berry,1
28,49.887539833,-97.1188028452,Southbound Aulneau at Despins,1
29,49.8853313317,-97.11851282,Southbound Aulneau at Dollard,1
30,49.8906982271,-97.149004626,Westbound Graham at Vaughan (The Bay),1
31,49.8337077526,-97.1457717805,Westbound Crescent at Kebir,0
32,49.9384205683,-97.1605418504,Northbound McPhillips at Inkster,0
33,49.8431666241,-97.182951444,Eastbound Victor Lewis at Avon Gate,0
35,49.8382747977,-97.1411325955,Southbound South at Crane,0
36,49.9353160173,-97.1536781562,Southbound Airlies at Polson,0
37,49.8367727056,-97.1405782625,Southbound South at Holly,0
38,49.8258201644,-97.1695719251,Westbound Chevrier at Hamelin,0
39,49.8669468575,-97.1856496477,Westbound Grosvenor at Niagara,0
40,49.866717715,-97.1830837427,Eastbound Grosvenor at Ash,0
41,49.8277383382,-97.1977961349,Northbound Lindenwood at Lindenwood,0
42,49.8543264563,-97.174755749,Southbound Poseidon at Pan Am Pool,0
43,49.7814558845,-97.1832468526,Northbound John Angus at Wave rley,0
44,49.905510426,-96.9861266752,Eastbound McMeans at Bayview,0
45,49.8666432012,-97.177200007,Westbound Grosvenor at Waverley,0
46,49.8508297351,-97.2071345499,Northbound Kenaston at Taylor,0
47,49.8742550258,-97.1991688216,Eastbound Academy at Beaverbrook,0
48,49.8744112153,-97.1988011341,Westbound Academy at Wellington Crescent South,0
49,49.8668409514,-97.1829121242,Westbound Grosvenor at Ash,0
50,49.8666378161,-97.1808601572,Eastbound Grosvenor at Elm,0
51,49.8667415649,-97.1800212889,Westbound Grosvenor at Elm,0
52,49.8665453977,-97.1778438304,Eastbound Grosvenor at Waverley,0
53,49.8945137806,-97.1423699486,Northbound Smith at Portage North,1
54,49.9365888506,-97.1528351326,Eastbound Inkster at Airlies,0
55,49.9007623465,-96.9841379833,Eastbound Kildare at Widlake,0
56,49.9208083764,-97.133000385,Westbound Mountain at Aikins,0
57,49.8126290447,-97.1991080814,Northbound Columbia at Exbury,0
58,49.8122659896,-97.1988991493,Southbound Columbia at Exbury,0
59,49.8151913171,-97.1005770249,Northbound Paddington at John Forsyth,0
60,49.8167545521,-97.1931300729,Eastbound Scurfield at Henlow West,0
61,49.8318868399,-97.1647121352,Westbound Clarence at Irene,0
62,49.8133775425,-97.2003869756,Southbound Columbia at Hallmark,0
63,49.8167564071,-97.1938250943,Westbound Scurfield at Henlow,0
64,49.8405761,-97.1715321891,Southbound Fennell at Seel,0
65,49.8318206058,-97.1645060499,Eastbound Clarence at Irene,0
66,49.8372688825,-97.1688753979,Southbound Fennell at Buffalo,0
67,49.8155824233,-97.1547638922,Southbound Chancellor at Gaylene,0
68,49.8399655137,-97.1956725285,Southbound Lindenwood at Tweedsmuir,0
69,49.8426511114,-97.1896611202,Southbound Lindenwood at Kingsborough,0
70,49.816209526,-97.1523489451,Northbound Chancellor at Pembina,0
71,49.8153866445,-97.1548964523,Northbound Chancellor at Gaylene,0
72,49.8147855032,-97.1516108075,Northbound Pembina at Thatcher North,0
73,49.8160383934,-97.1517715936,Southbound Pembina at Chancellor,0
74,49.8134382721,-97.1523015791,Southbound Pembina at Thatcher,0
75,49.9271586629,-97.1696094477,Westbound Burrows at McPhillips,0
76,49.8086824502,-97.1762786822,Southbound Bridgeland at Brockington,0
77,49.9412195183,-97.054954443,Westbound Sun Valley at Gateway,0
78,49.817818455,-97.1511476833,Southbound University at Pembina,0
79,49.8178858161,-97.1525492368,Southbound Pembina at University Crescent,0
80,49.9442244421,-97.199599488,Southbound Dexter at Kinver,0
81,49.9409822956,-97.0547549312,Eastbound Sun Valley at Gateway,0
82,49.9200507929,-97.0822488626,Northbound Gateway at Kimberly,0
83,49.960774948,-97.1892079209,Westbound Jefferson at Ritchie,0
84,49.9522200735,-97.1020917346,Westbound Chief Peguis at Main,0
85,49.807346772,-97.1076669337,Eastbound Warde at Paddington,0
86,49.9515915705,-97.1032595843,Northbound Main at Chief Peguis,0
87,49.9387864736,-97.2085545747,Westbound Burrows at Sumter,0
88,49.8019732463,-97.1559206451,Westbound Chancellor Matheson at Pembina,0
89,49.938256318,-97.2068460814,Southbound King Edward at Burrows,0
90,49.938649608,-97.2125037811,Eastbound Burrows at Palms,0
91,49.8940332641,-97.2638335424,Eastbound Cree at Cree D,0
92,49.8952108281,-97.1522016668,Northbound Balmoral at Qu'Appelle,1
93,49.9386114186,-97.2088676781,Eastbound Burrows at Sumter,0
94,49.8889764215,-97.1482072939,Northbound Vaughan at St. Mary,1
95,49.8866064878,-97.1456945887,Southbound Kennedy at Broadway,1
96,49.8880855932,-97.1465010919,Southbound Kennedy at York,1
97,49.8895644705,-97.147293729,Southbound Kennedy at St. Mary,1
98,49.8918431412,-97.1497266114,Northbound Vaughan at Portage North,1
99,49.8912357276,-97.1494296064,Northbound Vaughan at Portage South,1
100,49.890419107,-97.1489874585,Northbound Vaughan at Graham (The Bay),1
101,49.8360931525,-97.1679045709,Southbound Irene at Sony,0
102,49.836080642,-97.1676825256,Northbound Irene at Sony,0
103,49.8681785349,-97.2654148092,Northbound William Clement at Roblin,0
104,49.837405237,-97.0698882058,Northbound Island Shore at Tidewater,0
105,49.8431404678,-97.2008537985,Southbound Lorimer at Sterling Lyon,0
106,49.8465788256,-97.2004201156,Northbound Lorimer at Wilkes (Golf Dome),0
107,49.8464823149,-97.2005767133,Southbound Lorimer at Wilkes (Golf Dome),0
108,49.8468312408,-97.1946796429,Eastbound Wilkes at Sun-X,0
109,49.8538441285,-97.1652995194,Eastbound Taylor at Nathaniel,0
110,49.8433003403,-97.2007226787,Northbound Lorimer at Sterling Lyon,0
111,49.9008941986,-96.9855111894,Westbound Kildare at Southampton,0
112,49.9308315494,-97.14155915,Eastbound Atlantic at McKenzie,0
113,49.9445952417,-97.2026242749,Westbound Kinver at Cropo East,0
114,49.891351084,-97.1364347462,Southbound Main at St. Mary,1
115,49.8942460378,-97.1380219721,Southbound Main at Pioneer,1
116,49.8961755616,-97.1388667306,Southbound Main at Lombard,1
117,49.8971147159,-97.1390951697,Southbound Main at McDermot,1
118,49.8990303652,-97.1390771688,Southbound Main at William (City Hall),1
119,49.9002280532,-97.1380423492,Southbound Main at James,1
120,49.901780157,-97.1366735193,Southbound Main at Alexander,1
121,49.9034052795,-97.1353714184,Southbound Main at Henry,1
122,49.9042712199,-97.1344049171,Northbound Main at Higgins,1
123,49.9023591196,-97.1357599171,Northbound Main at Logan,1
124,49.8701154214,-97.155066248,Eastbound Corydon at Arbuthnot,1
125,49.8801144399,-97.293230568,Northbound Westwood at Byrd,0
126,49.870785111,-97.1530644615,Eastbound Corydon at Cockburn,1
